Target keyword,Target country,Title,Article status,Original publish date,URL,Original writer/translator,Category,Subcategory,Epic,Persona,Niche persona,Article type
machine learning in marketing,IN,What Is Machine Learning in Marketing?,Requires Edits,2025-02-13,https://www.coursera.org/in/articles/machine-learning-in-marketing,Izea,Business,"Marketing,AI and Machine Learning","Digital Marketer,Machine Learning Engineer,Data Scientist",Starter,Considering,Career Overview
mba entrance exam,IN,Which MBA Entrance Exam Is Right for Me?,Published,2024-11-20,https://www.coursera.org/in/articles/mba-entrance-exam,Izea,Degrees,"Degree Advice,Degrees by Level","Master's,Entrance Exams","Starter,Switcher","Considering,Current",Long Explainer
part time mba,IN,What Is a Part-time MBA?,Requires Spot Check,2025-03-17,https://www.coursera.org/in/articles/part-time-mba,Izea,Degrees,"Degrees by Level,Business Strategy","Master's,Business Degrees","Starter,Switcher","Considering,Applying",Career Overview
pgdm course,IN,"What Is a PGDM Course, and Is It Right for Me?",Requires Edits,2024-11-27,https://www.coursera.org/in/articles/pgdm-course,Izea,Degrees,"Degrees by Level,Leadership and Management,Degrees by Topic","Bachelor's,Business Degrees","Starter,Switcher",Considering,Degree Overview
pgdm course fees,IN,PGDM Course Fees for 2026 Registration,Published,2024-07-18,https://www.coursera.org/in/articles/pgdm-course-fees,Izea,Degrees,Degrees by Level,Bachelor's,Starter,Considering,Long Explainer
pgdm full form,IN,What Is PGDM Full Form?,Published,2024-08-06,https://www.coursera.org/in/articles/pgdm-full-form,Izea,Degrees,Degrees by Level,Bachelor's,Starter,Considering,Degree Overview
pgdm in finance,IN,What Can I Do with a PGDM in Finance?,Published,2024-05-28,https://www.coursera.org/in/articles/pgdm-in-finance,Izea,Degrees,"Degrees by Level,Finance",Bachelor's,Starter,Considering,Career Overview
pgdm salary,IN,PGDM Salary: A 2026 Guide,Published,2024-11-25,https://www.coursera.org/in/articles/pgdm-salary,Izea,Degrees,Degrees by Level,Bachelor's,"Starter,Switcher",Considering,Salary Guide
pgdm vs mba,IN,PGDM vs MBA: What’s the Difference?,Published,2025-03-17,https://www.coursera.org/in/articles/pgdm-vs-mba,Izea,Degrees,Degrees by Level,"Master's,Business Degrees",Starter,Considering,Comparison
qualities of an entrepreneur,IN,10 Important Qualities of an Entrepreneur ,Published,2024-04-17,https://www.coursera.org/in/articles/qualities-of-an-entrepreneur,Izea,Business,"Entrepreneurship,Skills","Entrepreneur,Skills by Role","Starter,Switcher",Considering,Skills
what is business analytics,IN,What Is Business Analytics?,Published,2024-04-18,https://www.coursera.org/in/articles/what-is-business-analytics,Izea,Business,"Business Strategy,Data Analytics","Business Analyst,Data Analyst","Starter,Switcher",Considering,Long Explainer
chatgpt plugins,IN,10 ChatGPT Plugins to Keep You Ahead of the Trend,Published,2024-04-26,https://www.coursera.org/in/articles/chatgpt-plugins,Izea,Business,"Business Strategy,Data Analytics","Business Analyst,Data Analyst","Starter,Switcher","Considering,Current",Long Explainer
chatgpt prompts,IN,How to Make ChatGPT Prompts Work for You,Published,2024-04-17,https://www.coursera.org/in/articles/chatgpt-prompts,Izea,Career Advice,Skills,Job Skills,"Starter,Switcher,Advancer",Considering,Long Explainer
data science applications,IN,10 Real-World Data Science Applications,Published,2024-04-25,https://www.coursera.org/in/articles/data-science-applications,Izea,Data,Data Science,Data Scientist,Starter,Considering,Career Overview
data science course duration,IN,What Are Social Media Analytics?,Published,2024-04-17,https://www.coursera.org/in/articles/data-science-course-duration,Izea,Degrees,"Degrees by Topic,Data Science,Degrees by Level","Data Science Degrees,Master's","Switcher,Advancer",Considering,Degree Overview
data science course fees,IN,Master’s Degree in Data Science Course Fees,Published,2024-11-21,https://www.coursera.org/in/articles/data-science-course-fees,Izea,Degrees,Data Science,Data Science Degrees,Starter,Considering,Career Overview
data science course syllabus,IN,Data Science Course Syllabus: What to Expect to Learn,Published,2025-06-04,https://www.coursera.org/in/articles/data-science-course-syllabus,Izea,Degrees,Data Science,"Data Science Degrees,Data Scientist",Starter,Considering,Long Explainer
data science jobs for freshers,IN,7 Data Science Jobs for Freshers,Published,2025-01-08,https://www.coursera.org/in/articles/data-science-jobs-for-freshers,Izea,Degrees,"Data Science,AI and Machine Learning,Data Engineering,Career Path Planning",Choosing a Career,Starter,Considering,Career Options
data scientist portfolio,IN,What Is a Data Scientist Portfolio?,Published,2024-07-18,https://www.coursera.org/in/articles/data-scientist-portfolio,Izea,Data,"Data Science,Career Support","Data Scientist,Portfolio Projects","Starter,Switcher","Considering,Current",Portfolio
is data science a good career,IN,Is Data Science a Good Career?,Published,2024-04-08,https://www.coursera.org/in/articles/is-data-science-a-good-career,Izea,Data,Data Science,Data Scientist,"Starter,Switcher",Considering,
machine learning jobs,IN,7 Machine Learning Jobs You Can Find in Multiple Industries,Published,2025-06-04,https://www.coursera.org/in/articles/machine-learning-jobs,Izea,Data,"AI and Machine Learning,Career Path Planning",Machine Learning Engineer,"Starter,Switcher",Considering,Career Options
mba in data science,IN,What Can I Do with an MBA in Data Science?,Published,2025-03-17,https://www.coursera.org/in/articles/mba-in-data-science,Izea,Degrees,"Degrees by Level,Business Strategy","Master's,Business Degrees,Data Science Degrees","Starter,Switcher","Considering,Applying",Long Explainer
python excel,IN,What Is Python in Excel?,Published,2024-08-06,https://www.coursera.org/in/articles/python-excel,Izea,Data,"Data Analytics,Skills","Job Skills,Data Analyst",Starter,Considering,Long Explainer
python libraries for data science,IN,9 Python Libraries for Data Science,Published,2025-03-17,https://www.coursera.org/in/articles/python-libraries-for-data-science,Izea,Data,Data Science,Data Scientist,"Starter,Switcher","Considering,Current",Long Explainer
scope of data science,IN,What Is the Scope of Data Science in India?,Published,2024-07-18,https://www.coursera.org/in/articles/scope-of-data-science,Izea,Data,Data Science,Data Scientist,"Starter,Switcher","Considering,Current",Career Overview
sql commands,IN,8 Key SQL Commands with Examples,Requires Edits,2025-01-07,https://www.coursera.org/in/articles/sql-commands,Izea,Data,"Data Analytics,Data Science","Data Scientist,Data Analyst","Starter,Switcher",Considering,Long Explainer
sql full form,IN,SQL Full Form vs Python: What’s the Difference?,Published,2024-07-18,https://www.coursera.org/in/articles/sql-full-form,Izea,Data,"Data Analytics,Data Science","Data Scientist,Data Analyst",Starter,"Considering,Applying",Long Explainer
statistics interview questions for data science,IN,10 Statistics Interview Questions for Data Science Roles,Published,2024-07-22,https://www.coursera.org/in/articles/statistics-interview-questions-for-data-science,Izea,Data,"Data Science,Career Support","Data Scientist,Job Applications,Interviews","Starter,Switcher","Current,Considering",Interview Questions
time series forecasting,IN,What Is Time Series Forecasting?,Published,2024-07-18,https://www.coursera.org/in/articles/time-series-forecasting,Izea,Data,"Data Science,AI and Machine Learning,Data Analytics","Data Scientist,Machine Learning Engineer,Data Analyst","Starter,Switcher",Considering,Long Explainer
what is gate exam,IN,What Is the GATE Exam?,Published,2024-11-09,https://www.coursera.org/in/articles/what-is-gate-exam,Izea,Degrees,"Degree Advice,Degrees by Level","Bachelor's,Entrance Exams",Starter,"Considering,Current",Long Explainer
environmental policies in india,IN,Understanding Environmental Policies in India,Published,2025-06-04,https://www.coursera.org/in/articles/environmental-policies-in-india,Izea,Degrees,Career Path Planning,"Choosing a Career,Humanities and Liberal Arts Degrees",Starter,Considering,Long Explainer
how to prepare for upsc,IN,How to Prepare for UPSC,Requires Edits,2025-01-07,https://www.coursera.org/in/articles/how-to-prepare-for-upsc,Izea,Degrees,"Degree Advice,Degrees by Level","Bachelor's,Entrance Exams",Starter,Considering,How to (General)
indian foreign policy,IN,What Is Indian Foreign Policy?,Published,2025-03-16,https://www.coursera.org/in/articles/indian-foreign-policy,Izea,Degrees,Degrees by Topic,Choosing a Career,Starter,Considering,Long Explainer
scope of public finance,IN,What Is the Scope of Public Finance in India?,Requires Spot Check,2025-03-17,https://www.coursera.org/in/articles/scope-of-public-finance,Izea,Business,Finance,Business Degrees,Starter,Considering,Career Overview
upsc full form,IN,What is UPSC Full Form?,Requires Edits,2024-11-26,https://www.coursera.org/in/articles/upsc-full-form,Izea,Degrees,"Degree Advice,Degrees by Level",Entrance Exams,Starter,"Considering,Applying",Long Explainer
upsc mains syllabus,IN,What Is the UPSC Mains Syllabus?,Requires Edits,2024-11-21,https://www.coursera.org/in/articles/upsc-mains-syllabus,Izea,Degrees,"Degree Advice,Degrees by Level",Entrance Exams,Starter,"Considering,Current",Long Explainer
upsc optional subject list,IN,What Is the UPSC Optional Subject List?,Requires Edits,2024-11-21,https://www.coursera.org/in/articles/upsc-optional-subject-list,Izea,Degrees,"Degree Advice,Degrees by Level",Entrance Exams,Starter,"Considering,Current",Long Explainer
what is diplomacy in international relations,IN,What Is Diplomacy in International Relations?,Published,2024-11-08,https://www.coursera.org/in/articles/what-is-diplomacy-in-international-relations,Izea,Degrees,Degrees by Topic,Humanities and Liberal Arts Degrees,Starter,Considering,Career Options
best cities for cyber security jobs,US,Best Cities for Cybersecurity Jobs in 2026,Published,2025-01-03,https://www.coursera.org/articles/best-cities-for-cyber-security-jobs,Izea,IT,"Networks and Security,Career Path Planning",Cybersecurity Analyst,"Starter,Switcher",Considering,Career Options
career change cyber security,US,How to Make a Career Change to Cybersecurity,Requires Updates,2024-03-21,https://www.coursera.org/articles/career-change-cyber-security,Izea,IT,"Networks and Security,Career Path Planning","Cybersecurity Analyst,Switching Careers","Starter,Switcher","Considering,Current",Career Options
cia cyber security jobs,US,8 CIA Cybersecurity Jobs and What You Need to Get Started,Updates Assigned,2024-04-03,https://www.coursera.org/articles/cia-cyber-security-jobs,Izea,IT,"Networks and Security,Career Path Planning","Cybersecurity Analyst,Choosing a Career","Starter,Switcher",Considering,Career Options
cisa jobs,US,6 CISA Jobs and How to Get Started,Published,2024-04-15,https://www.coursera.org/articles/cisa-jobs,Izea,IT,"Networks and Security,Career Path Planning","Cybersecurity Analyst,Choosing a Career","Starter,Switcher",Considering,Career Options
cyber security financial sector,US,Cybersecurity Financial Sector Jobs: 7 Roles to Know About,Published,2024-04-03,https://www.coursera.org/articles/cyber-security-financial-sector,Izea,IT,"Networks and Security,Finance",Cybersecurity Analyst,"Starter,Switcher",Considering,Career Options
cyber security gaming industry jobs,US,6 Cybersecurity Gaming Industry Jobs,Published,2024-03-13,https://www.coursera.org/articles/cybersecurity-gaming-industry-jobs,Izea,IT,"Networks and Security,Career Path Planning","Cybersecurity Analyst,Choosing a Career","Starter,Switcher",Considering,Career Options
cyber security in construction industry,US,Cybersecurity in the Construction Industry,Updates Assigned,2024-03-14,https://www.coursera.org/articles/cyber-security-in-construction-industry,Izea,IT,Networks and Security,Cybersecurity Analyst,"Starter,Switcher",Considering,Career Options
cyber security in healthcare,US,Cybersecurity in Health Care: Risks and Jobs That Address Them,Published,2024-03-22,https://www.coursera.org/articles/cyber-security-in-healthcare,Izea,IT,"Networks and Security,Health Informatics",Cybersecurity Analyst,"Starter,Switcher",Considering,Career Options
cyber security in hospitality industry,US,Cybersecurity in the Hospitality Industry: Your 2026 Guide,Published,2024-04-02,https://www.coursera.org/articles/cyber-security-in-hospitality-industry,Izea,IT,Networks and Security,Cybersecurity Analyst,"Starter,Switcher",Considering,Career Options
cyber security in maritime industry,US,Cybersecurity in the Maritime Industry: 6 Top Roles in the Field,Updates Assigned,2024-04-03,https://www.coursera.org/articles/cyber-security-in-maritime-industry,Izea,IT,Networks and Security,Cybersecurity Analyst,"Starter,Switcher",Considering,Career Options
cyber security in oil and gas industry,US,Cybersecurity in the Oil and Gas Industry,Published,2025-02-10,https://www.coursera.org/articles/cyber-security-in-oil-and-gas-industry,Izea,IT,Networks and Security,Cybersecurity Analyst,"Starter,Switcher",Considering,Career Options
cyber security in pharma industry,US,Cybersecurity in Pharma Industry,Updates Assigned,2024-06-20,https://www.coursera.org/articles/cyber-security-in-pharma-industry,Izea,IT,Networks and Security,Cybersecurity Analyst,"Starter,Switcher",Considering,Career Options
cyber security in retail industry,US,Cybersecurity in the Retail Industry: 8 Entry-Level Jobs,Published,2024-04-02,https://www.coursera.org/articles/cyber-security-in-retail-industry,Izea,IT,"Networks and Security,Sales",Cybersecurity Analyst,"Starter,Switcher",Considering,Career Options
